Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,0.493288017,RL,-0.118875317,-0.141123478,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.667269616,-0.477223093,1.050633798,0.878367123,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.224487681,Gd,TA,PConc,Gd,TA,No,GLQ,0.797263411,Unf,-0.887271742,-0.40389108,GasA,Ex,Y,SBrkr,-0.799349995,1.169838229,0.528350047,1.175170636,-0.240978467,0.796972968,1.283688272,0.170694725,Gd,0.946055733,Typ,-1.026988951,Attchd,0.992065985,RFn,0.273739541,0.383767346,TA,TA,Y,-0.950010987,0.841531302,-1.693650121,0.139917774,WD,Normal,208500
2,-1.163868859,RL,0.508133632,0.105571982,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,-0.042179473,2.010660967,0.156680026,-0.429429825,Gable,CompShg,MetalSd,MetalSd,None,-0.821808876,TA,TA,CBlock,Gd,TA,Gd,ALQ,1.011117527,Unf,-0.434239132,0.508002395,GasA,Ex,Y,SBrkr,0.429005066,-0.871155819,-0.382623724,-0.838578727,3.947456785,0.796972968,-0.77342657,0.170694725,TA,-0.234546787,Typ,0.783736099,Attchd,-0.101506352,RFn,0.273739541,-0.004600949,TA,TA,Y,1.213298514,-1.070939959,-0.444737988,-0.61357209,WD,Normal,181500
3,0.493288017,RL,0.013002279,0.413578982,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.667269616,-0.477223093,0.984415,0.829930199,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.187155419,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.57113533,Unf,-0.048066485,-0.253700787,GasA,Ex,Y,SBrkr,-0.568337836,1.172493855,0.65888614,1.175170636,-0.240978467,0.796972968,1.283688272,0.170694725,Gd,-0.234546787,Typ,0.783736099,Attchd,0.911060626,RFn,0.273739541,0.641769667,TA,TA,Y,-0.950010987,0.668223871,0.987151737,0.139917774,WD,Normal,223500
4,0.697949989,RL,-0.347061773,0.095456757,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,0.667269616,-0.477223093,-1.862993312,-0.720051368,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.821808876,TA,TA,BrkTil,TA,Gd,No,ALQ,0.142238653,Unf,0.183274753,-0.644585731,GasA,Gd,Y,SBrkr,-0.42927985,1.146440868,0.540611791,1.175170636,-0.240978467,-1.024821705,-0.77342657,0.170694725,Gd,0.389787243,Typ,0.783736099,Detchd,0.789552589,Unf,1.75911355,0.785822603,TA,TA,Y,-0.950010987,0.584339533,-1.693650121,-1.368400111,WD,Abnorml,140000
5,0.493288017,RL,0.663127506,0.876826752,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1.350462264,-0.477223093,0.951305601,0.733056351,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.328386541,Gd,TA,PConc,Gd,TA,Av,GLQ,0.750285542,Unf,0.077458975,0.25429955,GasA,Ex,Y,SBrkr,0.124656025,1.209215751,1.28245452,1.175170636,-0.240978467,0.796972968,1.283688272,1.382399626,Gd,1.448118643,Typ,0.783736099,Attchd,0.870557947,RFn,1.75911355,1.582715919,TA,TA,Y,1.079325661,0.991554868,1.962786108,0.139917774,WD,Normal,250000
6,0.242561082,RL,0.701176953,0.856787271,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.782903446,-0.477223093,0.719539808,0.490871731,Gable,CompShg,VinylSd,VinylSd,None,-0.821808876,TA,TA,Wood,Gd,TA,No,GLQ,0.820213383,Unf,-1.312825014,-0.547370335,GasA,Ex,Y,SBrkr,-1.033510509,1.089420707,-0.154120249,1.175170636,-0.240978467,-1.024821705,1.283688272,-2.32389117,TA,-0.947037233,Typ,-1.026988951,Attchd,0.587039193,Unf,0.273739541,0.084809461,TA,TA,Y,0.566430777,0.513879064,1.319805353,0.892015954,WD,Normal,143000
7,-1.163868859,RL,0.30767115,0.200930231,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,1.350462264,-0.477223093,1.083743197,0.975240971,Gable,CompShg,VinylSd,VinylSd,Stone,1.214390501,Gd,TA,PConc,Ex,TA,Av,GLQ,1.24924545,Unf,-0.341445616,1.381038894,GasA,Ex,Y,SBrkr,1.33578677,-0.871155819,0.500134828,1.175170636,-0.240978467,0.796972968,-0.77342657,0.170694725,Gd,0.389787243,Typ,0.783736099,Attchd,1.032568664,RFn,0.273739541,0.760508074,TA,TA,Y,1.166306494,0.809891045,0.645803668,-0.61357209,WD,Normal,307000
8,0.493288017,RL,0.417223624,0.257460157,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0.667269616,0.440400473,0.057351829,-0.574740597,Gable,CompShg,HdBoard,HdBoard,Stone,1.262395075,TA,TA,CBlock,Gd,TA,Mn,ALQ,0.924058711,BLQ,-0.645350777,0.170470457,GasA,Ex,Y,SBrkr,0.018529946,1.196398766,1.131022562,1.175170636,-0.240978467,0.796972968,1.283688272,0.170694725,TA,0.389787243,Typ,1.637887226,Attchd,-0.223014389,RFn,0.273739541,0.102606544,TA,TA,Y,1.141456978,1.413078277,1.644749746,0.892015954,WD,Normal,2.00E+05
9,0.242561082,RM,-0.788499049,-0.760519802,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,0.667269616,-0.477223093,-1.333242928,-1.688789848,Gable,CompShg,BrkFace,Wd Shng,None,-0.821808876,TA,TA,BrkTil,TA,TA,No,Unf,-1.352699498,Unf,0.907664217,-0.179631001,GasA,Gd,Y,FuseF,-0.233810752,1.145414355,0.638646554,-0.838578727,-0.240978467,0.796972968,-0.77342657,-1.062113385,TA,0.946055733,Min1,1.637887226,Detchd,-1.924126912,Unf,0.273739541,0.031249356,Fa,TA,Y,0.838195455,-1.070939959,-0.837792285,0.139917774,WD,Abnorml,129900
10,1.870903691,RL,-0.840348642,-0.391441879,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.782903446,0.440400473,-1.068367736,-1.688789848,Gable,CompShg,MetalSd,MetalSd,None,-0.821808876,TA,TA,BrkTil,TA,TA,No,GLQ,0.917879782,Unf,-0.928520576,-0.090227829,GasA,Ex,Y,SBrkr,-0.068068615,-0.871155819,-0.857272257,1.175170636,-0.240978467,-1.024821705,-0.77342657,-1.062113385,TA,-0.947037233,Typ,1.637887226,Attchd,-1.600105479,RFn,-1.047567381,-1.228330604,Gd,TA,Y,-0.950010987,-0.336054349,-2.176031522,0.139917774,WD,Normal,118000
